framewise_displacement	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	eddy_stdevs	original_file	grad_x	grad_y	grad_z	bval	image_mean	series_b0_mean	series_b0_correction	Patch2Self_pre	Patch2Self_post	Patch2Self_change	MRDeGibbs_pre	MRDeGibbs_post	MRDeGibbs_change
n/a	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	0.0	0.0	0.0	0.0	1700.2436709388062	1692.07444605122	1.0	1704.219486607143	1704.0825102647211	0.0484429617015366	1704.0825102647211	1700.2436709388062	0.0636307003420639
0.08067755914900002	0.004005642539	0.03195236008	-0.02302780885	-0.0001977052889	-3.91494541e-05	-0.0001969802106	0.0	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	0.0	0.0	0.0	0.0	1700.2552185039133	1692.07444605122	1.0	1704.8558618551588	1704.1192479688293	0.0467329892724769	1704.1192479688293	1700.2552185039133	0.0630846281691517
0.998450083139	-0.07660311369	-0.5863537568	-0.1229891964	-0.001377101522	0.001897834125	-0.001072076848	-6.168906000000001	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	0.18488	-0.970614	-0.15404	2500.0	314.6226338215317	1692.07444605122	1.0	315.66175595238093	314.7606855355922	0.1518014098657265	314.7606855355922	314.6226338215317	0.0392073046142476
0.42717331118000007	-0.04394179196	-0.2707822767	-0.1191789448	-0.001271273242	0.001622210373	-0.002193229971	-38.7575669	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	-0.860014	0.018195	-0.509946	1000.0	569.3311528716162	1692.07444605122	1.0	570.7617063492063	569.8262045691832	0.0976177468714478	569.8262045691832	569.3311528716162	0.0369597844250646
0.27869365459	-0.1102601007	-0.2099639046	-0.1729865363	-0.001706724055	0.002196741756	-0.001248224522	-15.509615099999998	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	0.0477697	-0.321497	0.945705	2500.0	302.86058998014613	1692.07444605122	1.0	306.24214657738094	302.9885977699179	0.1625187657879873	302.9885977699179	302.86058998014613	0.0391353684108782
0.28861919430999994	-0.06586765837	-0.3469901472	-0.1204163556	-0.002310713986	0.001971743768	-0.0009846058674	-12.520642986	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	0.401319	-0.563321	-0.722227	2500.0	315.9834252617366	1692.07444605122	1.0	316.46305183531746	316.1201328968792	0.1560241755650562	316.1201328968792	315.9834252617366	0.0371021919322852
0.15190104549	-0.05861480246	-0.3574920624	-0.1329510637	-0.001592756948	0.001968116499	-0.002695252886	-4.6561287	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	-0.399026	0.591499	-0.700647	1000.0	557.7151853770949	1692.07444605122	1.0	557.8525285218254	558.1845930388967	0.0981640838100622	558.1845930388967	557.7151853770949	0.037729113211403
0.25430059483	-0.08246125139	-0.3913114113	-0.2609057044	-0.001765921596	0.002175525995	-0.001702223904	-19.5202046	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	-0.638091	0.764464	0.091838	2500.0	311.7118504262796	1692.07444605122	1.0	312.3989248511905	311.872316220883	0.1472463269895344	311.872316220883	311.7118504262796	0.036490251510657
0.29472501196	-0.147044878	-0.2686763747	-0.2733802062	-0.00230772607	0.002752621192	-0.002483961172	-15.935007220000001	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	-0.810551	0.307069	-0.498713	2500.0	311.4761321577301	1692.07444605122	1.0	310.85376984126987	311.60087480158336	0.1502255610012082	311.60087480158336	311.4761321577301	0.0358047898471602
0.33702218565	-0.1076501489	-0.146470133	-0.3445601675	-0.001515086391	0.002263185801	-0.003286711173	9.038758100000003	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	0.813186	0.546745	-0.199495	1000.0	563.6851245610202	1692.07444605122	1.0	564.4735131448413	564.1466488181914	0.0945824038789269	564.1466488181914	563.6851245610202	0.0370443929762001
0.4457089359	-0.1361243321	-0.3972850226	-0.261768415	-0.00101438479	0.002269566758	-0.002121231519	-12.5594343	sub-001_ses-01_acq-cmrrmbep2ddiff9660b250030b10006b0_dir-AP_dwi.nii.gz	-0.015428	-0.738514	0.674062	2500.0	302.60726311088587	1692.07444605122	1.0	304.4370250496032	302.74473391422634	0.151421496365617	302.74473391422634	302.60726311088587	0.0380984782299703
