subject,session,ap_file_exists,pa_file_exists,ap_size_mb,pa_size_mb,ap_dimensions,pa_dimensions,ap_voxel_size,pa_voxel_size,ap_phase_encoding,pa_phase_encoding,ap_total_readout_time,pa_total_readout_time,ap_echo_time,ap_repetition_time,ap_mb_factor,num_b0,num_b1000,num_b2500,num_total_volumes,unique_bvals,num_directions,bvec_norm_ok,issues,abs_motion,rel_motion,outlier_pct,cnr_b1000,cnr_b2500,fba_qc_verdict,fba_qc_notes
sub-050,ses-01,True,True,102.4,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.48,0.28,0.12,36.53,2.86,pass,
sub-050,ses-02,True,True,103.4,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.55,0.27,0.02,37.07,3.0,pass,
sub-052,ses-01,True,True,110.2,1.3,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.47,0.29,1.13,25.38,1.3,fail,movement artifacts; banding-like artifacts
sub-053,ses-01,True,True,104.7,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.68,0.42,0.16,28.01,2.73,pass,
sub-054,ses-01,True,True,108.9,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.47,0.34,0.04,37.94,2.97,pass,
sub-055,ses-01,True,True,106.1,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.98,0.3,0.42,26.31,3.37,pass,
sub-055,ses-02,True,True,106.7,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,1.34,0.3,0.4,24.36,2.5,pass,
sub-056,ses-01,True,True,109.0,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.77,0.33,1.07,18.81,1.53,pass,low CNR (b1000=18.81 b2500=1.53); prior denoising concerns; visually OK
sub-057,ses-01,True,True,104.7,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.48,0.4,0.1,25.53,2.2,pass,
sub-057,ses-02,True,True,102.1,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.48,0.28,0.04,28.64,2.33,pass,
sub-058,ses-01,True,True,106.5,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.41,0.24,0.1,38.16,3.29,pass,
sub-058,ses-02,True,False,102.8,,120x120x56x97,,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,,j-,,0.0289563,,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,missing_PA_nii,,,,,,fail,missing PA fieldmap; cannot run TOPUP/eddy
sub-059,ses-01,True,True,106.3,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.66,0.28,0.73,24.52,1.92,monitor,obliquity 25.7deg; consistent across sessions; verify template registration
sub-059,ses-02,True,True,109.0,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.58,0.36,0.44,15.76,1.12,pass,
sub-060,ses-01,True,True,98.2,1.1,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.84,0.25,0.12,23.85,3.13,pass,
sub-062,ses-01,True,True,106.3,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x2.0339999198913574x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,unexpected_AP_voxel_size(1.7999999523162842x1.7999999523162842x2.0339999198913574x5),0.73,0.32,0.71,19.71,1.96,pass,
sub-063,ses-01,True,True,107.5,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x2.0339999198913574x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,unexpected_AP_voxel_size(1.7999999523162842x1.7999999523162842x2.0339999198913574x5),0.62,0.35,0.99,25.76,2.11,fail,frontal lobe cutoff; motion artifacts
sub-064,ses-01,True,True,103.2,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.82,0.48,1.15,26.31,1.87,fail,huge ventricles; cerebellum cutoff; denoising failed
sub-108,ses-01,True,True,105.4,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.56,0.33,0.02,40.67,3.29,pass,
sub-108,ses-02,True,True,106.5,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.38,0.3,0.04,47.23,3.76,pass,
sub-110,ses-01,True,True,107.6,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.4,0.33,0.02,31.56,2.66,pass,
